Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
4-504,"M: Hello, Joan. Why are you late today? You are never late for work. W: No, I never. But ... M: Wow! You coat's got very dirty! Did you fall? W: Yes, I had a terrible experience on the underground train. Listen to this! A man came up to me and pulled out a knife. He pointed it right at me! M: Oh, no! Are you all right? Did he hurt you? W: No, he didn't hurt me, but he took my handbag. M: Then what happened? What did you do? W: I caught hold of his knife, and he pushed me to the floor. M: Oh, no! Why did you catch hold of his knife? That's dangerous. W: I don't know. I didn't think. M: What did the other passengers do? Did they help you? W: Yes, they did. Two men ran after the robber and held him. M: Did the police come? W: Yeah. The conductor called a policeman, and he took the robber to the police station. M: Wow! What a story! Thank God you're all right.",Why was Joan late for work?,She got up very late that morning.,The train was late.,She was robbed and tried to catch the robber.,She was robbed and tried to catch the robber.
13-106,W: We are going to watch a football game. Would you like to go with us? M: I'd love to.,What are they going to do?,Watch a football game.,Watch a basketball game.,Play a football match.,Watch a football game.
12-312,W: Where do you come from? M: I come from America.,Where does John Smith come from?,England.,America.,Canada.,America.
11-151,M: Sally broke her arm last week. W: How did she do that?,What does the woman want to know?,How Sally is feeling.,What Sally had done to break her arm.,Where Sally lost her money last week.,What Sally had done to break her arm.
15-16,"M: I am glad you could come. I have been looking forward to meeting you. I have heard so much about you. W: It's so nice to meet you. You have just moved here, haven't you?",Which of the following is right?,The man is the woman's old friend.,The woman knew the man before.,The man knows something about the woman.,The man knows something about the woman.
7-208,"W: Oh, dear. My weight has gone up again. M: I'm not surprised. You've been eating too much. W: I wish I could lose weight. I have been to the hospital. M: Were you given any advice? W: Yeah, the doctor asked me to clean up my diet by cutting down meat. M: What's more, you had better do more exercise. W: You're right.",What has the woman done?,She has seen a doctor.,She has cleaned up her diet.,She has given some advice.,She has seen a doctor.
7-40,"M: Wow, I had no idea it was going to be so sunny here! I thought Alaska was supposed to be cold. W: Well, it is pretty cold for much of the year. But during the summer, it's just as warm as it is in states like Washington and Oregon. M: Interesting. The days are really long right now. I don't think the sun has been down for more than a few hours the whole time I've been here. W: Yeah, that's another interesting thing about the summers here. We're so far north that we're exposed to the sun for almost the entire day. In winter, the opposite is true. M: You mean it's dark the whole time? W: Well, not the whole time... but maybe for two-thirds of every day from December to February. M: Whoa! How do you make it through every year? As a California native, I wouldn't be able to handle that for more than one season! W: I guess I'm used to it. When I was a kid, it was pretty fun to play with flashlights and have campfires outside in the afternoon. I never noticed that life was worse because it was always dark.",What aye the summers like in Alaska?,They are very dark.,They are pretty cold.,They ale quite bright.,They ale quite bright.
16-138,"W: Only three more months to go, so what're you going to do after your graduation, Simon? M: My father is going to give me a job in his company. I'll probably work there about a year. So I can learn the basics. W: And what're you doing after that? M: Well, after that, I'm going back to college and get my degree in business. W: That sounds very nice.",What is the man now?,A university student,A company clerk,A businessman,A university student
9-2,"W: Sorry, I'm late for my flight and I'm in a hurry. Where is Gate 21? M: Go downstairs and turn left. Walk straight and you'll see it. W: Thanks.",Where are the speakers?,At a cinema.,At the airport.,In a shopping center.,At the airport.
4-368,"M: I'd like two tickets for the 10 o'clock train to Pittsburgh, please. W: One way, or round trip? M: One way, please. Oh, and one of them is for a child. W: Fine. That comes to 134.00.",is the man going to Pittsburgh?,By taxi.,By train.,By subway.,By train.
11-34,W: I like to travel by train. M: But reports say flying is safer than traveling by train.,What's the man's opinion?,He likes to travel by train.,He thinks traveling by train is safe.,He prefers to travel by plane.,He prefers to travel by plane.
3-133,"W: Hello. Sunnyside Hotel. May I help you? M: Yes, I'd like to book a room for two on the 21st of March. W: Okay. Let me check our books here for a moment. The 21st of May, right? M: No. March, not May. W: Oh, sorry. Let me see here. Hmm, M: Are you all booked that night? W: I'm sorry. They are all booked that day. M: Then do you have a room available either on the 20th or the 22nd? W: Well, would you like a smoking or non-smoking room? M: Non-smoking, please. W: Okay, we do have a few rooms available on the 20th; we're full on the 22nd, unless you want a smoking room. M: Well, how much is the non-smoking room on the 20th? W: $ 80, plus the 10% room tax. M: Okay, that'll be fine. W: All right. Could I have your name, please? M: Yes. David Smith. W: Okay, Mr. Smith, we look forward to seeing you. M: Okay. Goodbye.",For which day does the man book a room finally?,March 21st.,March 20th.,March 22nd.,March 20th.
17-183,W: What are you going to do with your house when you want to move away? M: I intend to sell it. Then I decide to rent it. W: You think you can get more to rent it than to sell it? M: I suppose so.,What is the man going to do with his house?,He is going to sell it.,He will rent it to others.,He will give it to others.,He will rent it to others.
10-40,W: You seem to be restless the whole day today. What's up? M: Later in the afternoon they will announce who will get permission for the study trip to Africa.,How does the man probably feel?,Nervous.,Uninterested.,Confident.,Nervous.
8-31,M: What can I do for you? W: I'd like a T-shirt for my son.,Where does the dialog probably happen?,In the library.,In the shop.,In the restaurant.,In the shop.
7-318,"M: Don't be mad at me. I'm only five minutes late. W: This is the last time I'm waiting for you. I mean it. M: You know, I always have a good excuse. I promise you: you'll never have to wait for me again. W: I hope so. Come on, let's go get our tickets now. Oh, by the way, you have got your wallet with you, don't you? I left mine at home.",What do you know about the woman?,She doesn't believe the man's excuse.,She's been waiting far too long.,She's really angry with the man.,She's really angry with the man.
